transaction_id,timestamp,amount,status,payment_mode,settlement_status,settlement_delay_mins
TXNE100017,2026-05-31 12:01:09,506.36,SUCCESS,UPI,Settled,8
TXNE100147,2026-06-02 04:07:27,1957.92,SUCCESS,UPI,Settled,6
TXNE100022,2026-06-02 20:22:08,2338.39,SUCCESS,Wallet,Settled,10
TXNE100240,2026-06-04 04:53:13,3554.4,SUCCESS,UPI,Settled,7
TXNE100143,2026-06-04 22:39:34,4119.99,SUCCESS,Wallet,Settled,13
TXNE100465,2026-06-05 06:57:11,1226.93,SUCCESS,UPI,Settled,7
TXNE100020,2026-06-05 08:23:17,1470.24,SUCCESS,Wallet,Settled,10
TXNE100055,2026-06-05 10:55:39,3283.73,SUCCESS,Wallet,Settled,9
TXNE100207,2026-06-05 13:22:17,1461.85,SUCCESS,UPI,Settled,13
TXNE100469,2026-06-05 18:19:16,4404.55,SUCCESS,Credit Card,Settled,13
TXNE100409,2026-06-05 20:17:48,4362.79,SUCCESS,UPI,Settled,6
TXNE100009,2026-06-05 20:22:01,2059.52,SUCCESS,UPI,Settled,16
TXNE100225,2026-06-05 22:09:14,1345.56,SUCCESS,UPI,Settled,8
TXNE100426,2026-06-06 00:03:31,1942.05,SUCCESS,UPI,Settled,6
TXNE100337,2026-06-06 00:37:38,3204.23,SUCCESS,Net Banking,Settled,12
TXNE100198,2026-06-06 15:46:24,4151.1,SUCCESS,Wallet,Settled,9
TXNE100229,2026-06-06 22:24:23,2266.59,SUCCESS,UPI,Settled,7
TXNE100215,2026-06-06 22:31:54,3320.89,FAILURE,UPI,N/A,0
TXNE100100,2026-06-06 23:37:53,1737.32,SUCCESS,Wallet,Settled,9
TXNE100104,2026-06-07 09:21:30,4159.57,SUCCESS,Wallet,Settled,4
TXNE100258,2026-06-07 10:00:01,1777.0,SUCCESS,UPI,Settled,6
TXNE100441,2026-06-07 10:09:39,1464.72,SUCCESS,UPI,Settled,13
TXNE100073,2026-06-07 17:10:46,4525.76,SUCCESS,Wallet,Settled,12
TXNE100279,2026-06-08 06:08:23,3861.17,SUCCESS,UPI,Settled,17
TXNE100194,2026-06-08 08:46:55,729.68,SUCCESS,UPI,Settled,6
TXNE100102,2026-06-08 10:57:31,4335.64,SUCCESS,Credit Card,Settled,13
TXNE100277,2026-06-08 13:32:45,4275.76,SUCCESS,UPI,Settled,15
TXNE100335,2026-06-08 18:04:19,1364.95,SUCCESS,UPI,Settled,7
TXNE100056,2026-06-08 18:09:31,3894.55,SUCCESS,UPI,Settled,8
TXNE100139,2026-06-09 00:27:56,3997.1,SUCCESS,Wallet,Settled,4
TXNE100302,2026-06-09 01:22:48,1329.48,SUCCESS,Wallet,Settled,8
TXNE100284,2026-06-09 04:54:43,1231.34,SUCCESS,UPI,Settled,9
TXNE100434,2026-06-09 05:02:24,3095.11,SUCCESS,Wallet,Settled,14
TXNE100347,2026-06-09 05:29:48,3198.29,SUCCESS,UPI,Settled,6
TXNE100118,2026-06-09 06:37:27,711.07,SUCCESS,UPI,Settled,11
TXNE100318,2026-06-09 07:28:39,3599.27,SUCCESS,UPI,Settled,1
TXNE100274,2026-06-09 10:06:33,2603.25,SUCCESS,UPI,Settled,15
TXNE100058,2026-06-09 10:17:01,2378.94,SUCCESS,UPI,Settled,11
TXNE100307,2026-06-09 10:21:31,4011.67,SUCCESS,Wallet,Settled,19
TXNE100367,2026-06-09 13:40:39,1159.42,SUCCESS,UPI,Settled,14
TXNE100397,2026-06-09 14:57:42,1663.42,SUCCESS,Wallet,Settled,9
TXNE100163,2026-06-09 15:53:25,1217.79,SUCCESS,UPI,Settled,15
TXNE100018,2026-06-09 19:09:18,3647.42,SUCCESS,Credit Card,Settled,10
TXNE100161,2026-06-09 19:54:37,1081.89,SUCCESS,UPI,Settled,11
TXNE100293,2026-06-09 21:03:41,3863.37,SUCCESS,UPI,Settled,12
TXNE100108,2026-06-09 21:11:59,1103.06,SUCCESS,UPI,Settled,7
TXNE100038,2026-06-09 21:52:50,1974.51,SUCCESS,UPI,Settled,14
TXNE100187,2026-06-09 22:43:12,3915.43,SUCCESS,UPI,Settled,6
TXNE100414,2026-06-09 23:06:29,3607.76,SUCCESS,Wallet,Settled,10
TXNE100228,2026-06-09 23:46:26,3451.34,SUCCESS,UPI,Settled,13
TXNE100246,2026-06-10 00:04:59,2339.42,SUCCESS,UPI,Settled,8
TXNE100288,2026-06-10 00:31:24,609.7,SUCCESS,UPI,Settled,12
TXNE100173,2026-06-10 00:42:50,4362.5,SUCCESS,UPI,Settled,15
TXNE100310,2026-06-10 03:58:29,1499.44,SUCCESS,Credit Card,Settled,9
TXNE100382,2026-06-10 05:17:57,3573.73,SUCCESS,UPI,Settled,8
TXNE100086,2026-06-10 05:28:29,1710.33,SUCCESS,Credit Card,Settled,12
TXNE100468,2026-06-10 08:58:54,4982.8,SUCCESS,Credit Card,Settled,4
TXNE100375,2026-06-10 09:25:54,4077.52,SUCCESS,UPI,Settled,5
TXNE100116,2026-06-10 12:49:43,1858.79,SUCCESS,UPI,Settled,12
TXNE100121,2026-06-10 13:20:31,2786.86,SUCCESS,Credit Card,Settled,9
TXNE100255,2026-06-10 14:29:03,4150.59,SUCCESS,UPI,Settled,10
TXNE100222,2026-06-10 15:19:10,2234.54,SUCCESS,UPI,Settled,6
TXNE100160,2026-06-10 16:24:35,1123.49,SUCCESS,Wallet,Settled,7
TXNE100218,2026-06-10 18:27:02,3938.75,SUCCESS,UPI,Settled,2
TXNE100031,2026-06-10 18:57:39,2533.19,SUCCESS,Net Banking,Settled,6
TXNE100095,2026-06-10 19:02:06,1015.01,SUCCESS,UPI,Settled,12
TXNE100253,2026-06-10 20:17:52,686.74,SUCCESS,UPI,Settled,6
TXNE100251,2026-06-10 20:49:00,624.17,SUCCESS,UPI,Settled,5
TXNE100190,2026-06-10 21:22:52,2634.26,SUCCESS,UPI,Settled,11
TXNE100299,2026-06-11 04:02:56,2405.55,SUCCESS,Debit Card,Settled,14
TXNE100046,2026-06-11 04:42:04,893.56,SUCCESS,Credit Card,Settled,16
TXNE100313,2026-06-11 05:43:52,3667.64,SUCCESS,UPI,Settled,5
TXNE100278,2026-06-11 09:12:15,879.71,SUCCESS,UPI,Settled,12
TXNE100359,2026-06-11 13:13:43,3398.97,SUCCESS,UPI,Settled,6
TXNE100034,2026-06-11 13:47:08,3345.3,SUCCESS,Wallet,Settled,2
TXNE100089,2026-06-11 14:49:41,1842.13,SUCCESS,UPI,Settled,12
TXNE100479,2026-06-11 15:29:18,3919.47,SUCCESS,UPI,Settled,12
TXNE100099,2026-06-11 17:47:34,1490.74,SUCCESS,Wallet,Settled,9
TXNE100265,2026-06-11 18:11:55,2167.73,SUCCESS,UPI,Settled,7
TXNE100162,2026-06-11 18:20:44,3091.64,SUCCESS,Net Banking,Settled,12
TXNE100077,2026-06-11 19:30:25,1488.87,SUCCESS,UPI,Settled,6
TXNE100460,2026-06-11 20:44:16,1073.35,SUCCESS,Credit Card,Settled,3
TXNE100242,2026-06-11 21:59:54,2703.92,SUCCESS,Debit Card,Settled,10
TXNE100156,2026-06-11 23:08:59,4582.23,SUCCESS,Credit Card,Settled,13
TXNE100340,2026-06-12 01:43:23,1606.3,SUCCESS,Credit Card,Settled,16
TXNE100023,2026-06-12 04:13:49,1106.25,SUCCESS,UPI,Settled,16
TXNE100445,2026-06-12 05:45:33,1823.24,SUCCESS,Debit Card,Settled,4
TXNE100461,2026-06-12 07:45:35,2142.99,SUCCESS,UPI,Settled,12
TXNE100420,2026-06-12 10:28:41,4897.08,SUCCESS,UPI,Settled,6
