transaction_id,timestamp,amount,status,payment_mode,settlement_status,settlement_delay_mins
TXNG100042,2026-05-26 21:38:05,174.25,SUCCESS,Wallet,Settled,75
TXNG100259,2026-05-26 23:09:27,607.58,SUCCESS,UPI,Settled,112
TXNG100062,2026-05-27 02:45:11,978.76,SUCCESS,UPI,Settled,82
TXNG100215,2026-05-27 04:43:32,213.76,SUCCESS,UPI,Settled,11
TXNG100153,2026-05-27 06:04:44,938.28,SUCCESS,Wallet,Settled,120
TXNG100223,2026-05-27 08:10:04,959.88,SUCCESS,UPI,Settled,92
TXNG100254,2026-05-27 09:21:00,1386.89,SUCCESS,UPI,Settled,154
TXNG100080,2026-05-27 11:15:31,1062.73,SUCCESS,UPI,Settled,65
TXNG100048,2026-05-27 12:36:00,456.95,SUCCESS,UPI,Settled,121
TXNG100096,2026-05-27 15:43:22,1359.38,SUCCESS,UPI,Settled,133
TXNG100027,2026-05-27 16:17:52,946.63,SUCCESS,UPI,Unsettled,112
TXNG100021,2026-05-27 16:42:57,381.21,SUCCESS,Wallet,Settled,202
TXNG100052,2026-05-27 22:17:31,1245.05,SUCCESS,UPI,Settled,140
TXNG100173,2026-05-27 23:43:53,895.98,SUCCESS,Wallet,Settled,148
TXNG100281,2026-05-28 05:03:35,1127.18,SUCCESS,UPI,Settled,36
TXNG100049,2026-05-28 05:57:35,841.52,FAILURE,UPI,N/A,0
TXNG100199,2026-05-28 10:27:59,363.01,SUCCESS,UPI,Settled,47
TXNG100273,2026-05-28 10:52:22,1253.41,SUCCESS,Wallet,Settled,165
TXNG100169,2026-05-28 12:36:36,994.09,SUCCESS,Wallet,Settled,166
TXNG100045,2026-05-28 13:11:11,444.68,SUCCESS,UPI,Settled,157
TXNG100041,2026-05-28 14:08:40,1166.13,SUCCESS,UPI,Settled,169
TXNG100095,2026-05-29 02:20:50,184.5,SUCCESS,UPI,Settled,128
TXNG100119,2026-05-29 03:20:26,695.86,SUCCESS,UPI,Settled,142
TXNG100191,2026-05-29 06:02:09,578.05,SUCCESS,UPI,Settled,87
TXNG100193,2026-05-29 06:58:56,244.71,SUCCESS,Credit Card,Settled,120
TXNG100129,2026-05-29 07:16:32,1082.73,SUCCESS,UPI,Settled,109
TXNG100170,2026-05-29 12:41:30,1439.84,SUCCESS,UPI,Settled,153
TXNG100151,2026-05-29 14:39:46,1138.29,SUCCESS,UPI,Settled,250
