Date,Transaction_ID,Payer_UPI,Amount,Status,Payment_Mode
2026-05-26 19:58:35,PAYTMG100205,payer257@okaxis,325.91,Success,UPI
2026-05-26 22:35:46,PAYTMG100128,payer898@okaxis,259.28,Success,Wallet
2026-05-27 02:08:02,PAYTMG100007,payer656@okaxis,257.18,Success,UPI
2026-05-27 02:33:00,PAYTMG100017,payer169@okaxis,380.33,Success,UPI
2026-05-27 07:51:34,PAYTMG100250,payer429@okaxis,254.1,Success,Credit Card
2026-05-27 10:50:23,PAYTMG100071,payer474@okaxis,348.59,Success,UPI
2026-05-27 13:32:38,PAYTMG100216,payer865@okaxis,390.25,Success,Wallet
2026-05-27 16:54:44,PAYTMG100272,payer848@okaxis,232.25,Success,Wallet
2026-05-27 21:07:24,PAYTMG100236,payer489@okaxis,299.41,Success,UPI
2026-05-27 23:02:10,PAYTMG100105,payer958@okaxis,472.33,Success,UPI
2026-05-27 23:13:16,PAYTMG100260,payer898@okaxis,302.81,Success,UPI
2026-05-28 01:39:24,PAYTMG100112,payer444@okaxis,461.82,Success,UPI
2026-05-28 05:36:39,PAYTMG100171,payer612@okaxis,497.28,Success,UPI
2026-05-28 13:02:49,PAYTMG100042,payer286@okaxis,283.03,Success,UPI
2026-05-28 15:10:24,PAYTMG100202,payer970@okaxis,401.45,Success,UPI
2026-05-28 15:38:56,PAYTMG100059,payer892@okaxis,311.09,Success,Credit Card
2026-05-28 17:52:25,PAYTMG100228,payer177@okaxis,224.23,Success,UPI
2026-05-28 18:36:59,PAYTMG100142,payer445@okaxis,200.13,Success,UPI
2026-05-28 19:16:41,PAYTMG100176,payer681@okaxis,392.53,Success,UPI
2026-05-28 21:35:38,PAYTMG100041,payer379@okaxis,240.79,Success,UPI
2026-05-29 00:03:56,PAYTMG100229,payer432@okaxis,201.8,Success,UPI
2026-05-29 00:35:22,PAYTMG100011,payer874@okaxis,378.98,Success,UPI
2026-05-29 02:33:36,PAYTMG100252,payer656@okaxis,294.27,Success,UPI
2026-05-29 09:39:52,PAYTMG100286,payer742@okaxis,365.5,Success,Credit Card
2026-05-29 10:33:25,PAYTMG100152,payer661@okaxis,253.75,Success,UPI
2026-05-29 10:43:22,PAYTMG100008,payer345@okaxis,246.67,Success,Wallet
2026-05-29 14:43:47,PAYTMG100166,payer737@okaxis,456.03,Success,UPI
2026-05-29 15:28:40,PAYTMG100076,payer587@okaxis,403.61,Success,Wallet
2026-05-29 16:42:04,PAYTMG100137,payer450@okaxis,310.46,Success,Credit Card
2026-05-30 08:12:21,PAYTMG100203,payer614@okaxis,345.45,Success,UPI
2026-05-30 08:13:36,PAYTMG100168,payer691@okaxis,229.38,Success,Debit Card
2026-05-30 15:37:42,PAYTMG100051,payer540@okaxis,421.18,Failed,UPI
2026-05-30 15:49:23,PAYTMG100126,payer123@okaxis,221.64,Success,Net Banking
2026-05-30 16:24:23,PAYTMG100257,payer489@okaxis,370.4,Success,UPI
2026-05-30 17:56:12,PAYTMG100047,payer786@okaxis,238.96,Success,UPI
2026-05-30 18:06:28,PAYTMG100025,payer679@okaxis,297.13,Success,UPI
2026-05-30 18:20:36,PAYTMG100050,payer431@okaxis,320.9,Success,UPI
2026-05-30 20:48:08,PAYTMG100224,payer725@okaxis,313.95,Success,UPI
2026-05-30 21:25:14,PAYTMG100179,payer475@okaxis,420.61,Success,Net Banking
2026-05-30 21:50:54,PAYTMG100232,payer531@okaxis,356.29,Success,Wallet
